name,learning_model,features,clip_counts,negation,remove_stopwords,lemmatise,avg_cv_acc,rmse,min_acc,max_acc
baseline-LR-BoW-clip,LogisticRegression(),bow,TRUE,FALSE,FALSE,FALSE,0.8530,0.021817,0.820,0.900
param-exp-LR-1,LogisticRegression(),bow,TRUE,TRUE,TRUE,TRUE,0.8530,0.021817,0.820,0.900
param-exp-LR-2,LogisticRegression(),bow,TRUE,TRUE,TRUE,FALSE,0.8530,0.021817,0.820,0.900
param-exp-LR-3,LogisticRegression(),bow,TRUE,TRUE,FALSE,TRUE,0.8530,0.021817,0.820,0.900
param-exp-LR-4,LogisticRegression(),bow,TRUE,TRUE,FALSE,FALSE,0.8530,0.021817,0.820,0.900
param-exp-LR-5,LogisticRegression(),bow,TRUE,FALSE,TRUE,TRUE,0.8530,0.021817,0.820,0.900
param-exp-LR-6,LogisticRegression(),bow,TRUE,FALSE,TRUE,FALSE,0.8530,0.021817,0.820,0.900
param-exp-LR-7,LogisticRegression(),bow,TRUE,FALSE,FALSE,TRUE,0.8530,0.021817,0.820,0.900
param-exp-LR-8,LogisticRegression(),bow,TRUE,FALSE,FALSE,FALSE,0.8530,0.021817,0.820,0.900
param-exp-LR-9,LogisticRegression(),bow,FALSE,TRUE,TRUE,TRUE,0.8385,0.017037,0.820,0.870
param-exp-LR-10,LogisticRegression(),bow,FALSE,TRUE,TRUE,FALSE,0.8390,0.019209,0.820,0.880
param-exp-LR-11,LogisticRegression(),bow,FALSE,TRUE,FALSE,TRUE,0.8395,0.019033,0.820,0.880
param-exp-LR-12,LogisticRegression(),bow,FALSE,TRUE,FALSE,FALSE,0.8375,0.017500,0.820,0.870
param-exp-LR-13,LogisticRegression(),bow,FALSE,FALSE,TRUE,TRUE,0.8390,0.019209,0.820,0.880
param-exp-LR-14,LogisticRegression(),bow,FALSE,FALSE,TRUE,FALSE,0.8390,0.019209,0.820,0.880
param-exp-LR-15,LogisticRegression(),bow,FALSE,FALSE,FALSE,TRUE,0.8390,0.019209,0.820,0.880
param-exp-LR-16,LogisticRegression(),bow,FALSE,FALSE,FALSE,FALSE,0.8390,0.019209,0.820,0.880
param-exp-LR-17,LogisticRegression(),bob,TRUE,TRUE,TRUE,TRUE,0.6770,0.036277,0.620,0.740
param-exp-LR-18,LogisticRegression(),bob,TRUE,TRUE,TRUE,FALSE,0.6770,0.036277,0.620,0.740
param-exp-LR-19,LogisticRegression(),bob,TRUE,TRUE,FALSE,TRUE,0.6770,0.036277,0.620,0.740
param-exp-LR-20,LogisticRegression(),bob,TRUE,TRUE,FALSE,FALSE,0.6770,0.036277,0.620,0.740
param-exp-LR-21,LogisticRegression(),bob,TRUE,FALSE,TRUE,TRUE,0.6770,0.036277,0.620,0.740
param-exp-LR-22,LogisticRegression(),bob,TRUE,FALSE,TRUE,FALSE,0.6770,0.036277,0.620,0.740
param-exp-LR-23,LogisticRegression(),bob,TRUE,FALSE,FALSE,TRUE,0.6770,0.036277,0.620,0.740
param-exp-LR-24,LogisticRegression(),bob,TRUE,FALSE,FALSE,FALSE,0.6770,0.036277,0.620,0.740
param-exp-LR-25,LogisticRegression(),bob,FALSE,TRUE,TRUE,TRUE,0.6335,0.027482,0.595,0.675
param-exp-LR-26,LogisticRegression(),bob,FALSE,TRUE,TRUE,FALSE,0.6335,0.027482,0.595,0.675
param-exp-LR-27,LogisticRegression(),bob,FALSE,TRUE,FALSE,TRUE,0.6335,0.027482,0.595,0.675
param-exp-LR-28,LogisticRegression(),bob,FALSE,TRUE,FALSE,FALSE,0.6335,0.027482,0.595,0.675
param-exp-LR-29,LogisticRegression(),bob,FALSE,FALSE,TRUE,TRUE,0.6335,0.027482,0.595,0.675
param-exp-LR-30,LogisticRegression(),bob,FALSE,FALSE,TRUE,FALSE,0.6335,0.027482,0.595,0.675
param-exp-LR-31,LogisticRegression(),bob,FALSE,FALSE,FALSE,TRUE,0.6335,0.027482,0.595,0.675
param-exp-LR-32,LogisticRegression(),bob,FALSE,FALSE,FALSE,FALSE,0.6335,0.027482,0.595,0.675
param-exp-LR-33,LogisticRegression(),bot,TRUE,TRUE,TRUE,TRUE,0.5275,0.013829,0.505,0.545
param-exp-LR-34,LogisticRegression(),bot,TRUE,TRUE,TRUE,FALSE,0.5275,0.013829,0.505,0.545
param-exp-LR-35,LogisticRegression(),bot,TRUE,TRUE,FALSE,TRUE,0.5275,0.013829,0.505,0.545
param-exp-LR-36,LogisticRegression(),bot,TRUE,TRUE,FALSE,FALSE,0.5275,0.013829,0.505,0.545
param-exp-LR-37,LogisticRegression(),bot,TRUE,FALSE,TRUE,TRUE,0.5275,0.013829,0.505,0.545
param-exp-LR-38,LogisticRegression(),bot,TRUE,FALSE,TRUE,FALSE,0.5275,0.013829,0.505,0.545
param-exp-LR-39,LogisticRegression(),bot,TRUE,FALSE,FALSE,TRUE,0.5275,0.013829,0.505,0.545
param-exp-LR-40,LogisticRegression(),bot,TRUE,FALSE,FALSE,FALSE,0.5275,0.013829,0.505,0.545
param-exp-LR-41,LogisticRegression(),bot,FALSE,TRUE,TRUE,TRUE,0.5395,0.017812,0.505,0.565
param-exp-LR-42,LogisticRegression(),bot,FALSE,TRUE,TRUE,FALSE,0.5395,0.017812,0.505,0.565
param-exp-LR-43,LogisticRegression(),bot,FALSE,TRUE,FALSE,TRUE,0.5395,0.017812,0.505,0.565
param-exp-LR-44,LogisticRegression(),bot,FALSE,TRUE,FALSE,FALSE,0.5395,0.017812,0.505,0.565
param-exp-LR-45,LogisticRegression(),bot,FALSE,FALSE,TRUE,TRUE,0.5395,0.017812,0.505,0.565
param-exp-LR-46,LogisticRegression(),bot,FALSE,FALSE,TRUE,FALSE,0.5395,0.017812,0.505,0.565
param-exp-LR-47,LogisticRegression(),bot,FALSE,FALSE,FALSE,TRUE,0.5395,0.017812,0.505,0.565
param-exp-LR-48,LogisticRegression(),bot,FALSE,FALSE,FALSE,FALSE,0.5395,0.017812,0.505,0.565